trade_id,entry_idx,exit_idx,side,entry,exit,exit_reason,pnl,r_multiple,equity_after,prob
16,69230,69235,SHORT,87320.954190625,88150.50325543593,SL,-78.8895139583891,-1.0,9824.800152904412,0.7813193691776595
17,69510,69514,SHORT,90800.56281718751,90584.9114804967,SL,9.074099095319758,0.13636363636363336,9833.874251999732,0.6991606289991317
18,69536,69558,SHORT,89656.74475156251,89252.40054854602,DECAY_TP,18.924404894136398,0.3097555474910728,9852.798656893869,0.6513929786865724
19,69873,69896,SHORT,90503.89559999999,90277.63586099999,DECAY_TP,11.12304757849488,0.14832535885167558,9863.921704472363,0.758290331864919
20,70076,70090,SHORT,90333.83586875,90119.29300856171,SL,8.667284814735,0.13636363636364413,9872.588989287098,0.6734523173141398
21,70375,70395,SHORT,89471.60991093749,88810.51412659556,DECAY_TP,36.89737749588476,0.6161616161616186,9909.486366782983,0.6413536206646142
22,70403,70414,SHORT,88541.25695625,88330.9714709789,SL,8.84508234012721,0.13636363636364496,9918.33144912311,0.6816022923615537
23,70457,70474,SHORT,89851.08868750001,88997.50334496876,SL,49.05326682746029,0.8181818181818186,9967.384715950571,0.6394882167558854
24,70505,70514,SHORT,86138.721934375,86957.03979275157,SL,-58.92755289607149,-1.0,9908.4571630545,0.6272646359525387
25,70520,70527,SHORT,87244.00864531251,87036.8041247799,SL,12.314920783561066,0.13636363636363252,9920.772083838061,0.8503414220296548
26,70533,70535,SHORT,87216.52195625001,88084.00736884767,SL,-77.16757317589335,-1.0,9843.604510662168,0.7684164585647855
27,70601,70616,SHORT,86782.64781093749,87147.8828125,TIME_DECAY_SL,-36.7021425554741,-0.4936476421574315,9806.902368106694,0.7544189349231601
28,70625,70627,SHORT,87566.37384687501,88398.25439842032,SL,-94.5981172120892,-1.0,9712.304250894604,0.8800496330568159
29,70694,70706,SHORT,86823.6318,87343.3203125,TIME_DECAY_SL,-39.70356207767023,-0.6636904535745809,9672.600688816934,0.6496372362887295
30,70713,70716,SHORT,87142.35710468749,87970.20949718202,SL,-72.99455070492454,-1.0,9599.606138112009,0.7539851253469858
31,70795,70807,SHORT,87920.490509375,88198.703125,TIME_DECAY_SL,-22.48672178933999,-0.39371923962386884,9577.119416322668,0.630778677481328
