coin,entry,exit,pos_usd,raw_ret,pnl,reason
SOL,40.73251737876223,40.248,55.35410606623426,-0.011895100277177106,-0.697190516657718,TRAILING_EMA20
NEAR,1.262778392386247,1.549,73.57968025289857,0.22666020367428508,16.626079536233732,TRAILING_EMA20
SOL,40.652809010732796,54.712,61.51977970325187,0.34583565887305423,21.232669701606984,TRAILING_EMA20
NEAR,1.487496005581205,1.591,39.178611442393525,0.06958270410840739,2.698728699364657,TRAILING_EMA20
SOL,54.943818413576714,57.842,33.0342783664669,0.05274809196200936,1.7193711583164855,TRAILING_EMA20
NEAR,1.6731848945970353,1.754,49.14292409326944,0.04830016435358031,2.339211263655147,TRAILING_EMA20
SOL,59.30578480857409,59.008,56.49330061893889,-0.005021176425457852,-0.32320813969737666,TRAILING_EMA20
NEAR,1.754633581010686,1.907,35.62705451324897,0.08683660260368975,3.068793436547718,TRAILING_EMA20
NEAR,1.923949446830341,1.922,44.66421684106242,-0.0010132526265452801,-0.07652108681553813,TRAILING_EMA20
NEAR,1.9241128124847011,1.7529842410561298,44.65510368661274,-0.08893894906691291,-4.002836564941995,SL_WIDE
SOL,57.077774994861336,56.869,75.83876488692572,-0.003657728334367172,-0.33048473459116634,TRAILING_EMA20
SOL,57.83042139624569,57.106,89.78326399493992,-0.01252664910189838,-1.187531728084177,TRAILING_EMA20
NEAR,1.8533351436693526,1.83,84.55353742889537,-0.01259089255878032,-1.1237919814322586,TRAILING_EMA20
SOL,57.737328180381084,55.921,90.39984104375472,-0.031458473012581534,-2.9071208485472466,TRAILING_EMA20
SOL,58.86688864468959,62.123,71.02976629361693,0.055313121353563144,3.8791572463085306,TRAILING_EMA20
NEAR,1.8159642221291385,2.224,92.90647183244204,0.22469373179194996,20.810467333372376,TRAILING_EMA20
NEAR,2.22856719013066,2.213,53.908437079688966,-0.006985290907808528,-0.4143020213427017,TRAILING_EMA20
NEAR,2.387181018799,2.2136095902275716,57.65979232120364,-0.07270978916326709,-4.232793197497326,SL_WIDE
SOL,71.28494529885589,66.05015958457017,57.09063469977255,-0.07343465990384557,-4.232394787162323,SL_WIDE
SOL,69.48359842355741,72.552,60.4624598694443,0.04416008448120756,2.6277036138676713,TRAILING_EMA20
SOL,73.89142971494665,73.573,51.42706831677987,-0.004309426900725555,-0.25762013945152795,TRAILING_EMA20
SOL,73.26354489332212,110.708,64.06057159823497,0.5110925926557355,32.696041225031514,TRAILING_EMA20
SOL,107.52310352404764,103.499,74.2101883417976,-0.03742547780112815,-2.8292988882427434,TRAILING_EMA20
NEAR,3.8185691097636445,3.702,37.66528951573354,-0.03052690848663464,-1.1761705488304104,TRAILING_EMA20
SOL,99.23234905209287,97.751,45.6738582832602,-0.014928086115498673,-0.7137949904778728,TRAILING_EMA20
NEAR,3.495424576871868,3.46,46.44801169653846,-0.010134556215648627,-0.5032435938312508,TRAILING_EMA20
NEAR,2.886852456202498,2.882,81.72108765472211,-0.0016808812629383052,-0.19456820638406674,TRAILING_EMA20
NEAR,2.9844033776941363,2.945,67.98092945591132,-0.013203100488574426,-0.9451456935322242,TRAILING_EMA20
SOL,99.45671584496002,99.103,82.69416856636639,-0.0035564802432388465,-0.3519860947338014,TRAILING_EMA20
SOL,99.73503552322437,96.912,84.06016048673315,-0.028305354366339852,-2.438194743009094,TRAILING_EMA20
SOL,113.01990650510643,111.56,98.78146162026752,-0.012917251042323885,-1.3451319612108648,TRAILING_EMA20
NEAR,3.1867537904957,3.234,71.13413831175575,0.014825811032282754,1.0048273957361267,TRAILING_EMA20
SOL,111.34588134194709,111.658,117.73111166208247,0.0028031450673453584,0.24760560676519433,TRAILING_EMA20
NEAR,3.2878298332600897,3.411,77.08080799022359,0.037462451825792664,2.833679490433769,TRAILING_EMA20
